[  721665ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  721837ms] [LOG] [Fast Refresh] done in 276ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  817536ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  817539ms] [LOG] [Fast Refresh] done in 108ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  817733ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  817821ms] [LOG] [Fast Refresh] done in 204ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  820461ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  820531ms] [LOG] [Fast Refresh] done in 174ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  820828ms] [WARNING] The resource http://localhost:3000/flinttype-logo.svg was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/sign-in:0
[  830819ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  830827ms] [LOG] [Fast Refresh] done in 111ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  831005ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  831072ms] [LOG] [Fast Refresh] done in 174ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  831194ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  831340ms] [LOG] [Fast Refresh] done in 254ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  834352ms] [WARNING] The resource http://localhost:3000/flinttype-logo.svg was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/sign-in:0
[  839450ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  839462ms] [LOG] [Fast Refresh] done in 116ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  839637ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  839692ms] [LOG] [Fast Refresh] done in 158ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  839811ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  839948ms] [LOG] [Fast Refresh] done in 241ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  842707ms] [WARNING] The resource http://localhost:3000/flinttype-logo.svg was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/sign-in:0
[  847149ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  847276ms] [LOG] [Fast Refresh] done in 234ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  873944ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  873948ms] [LOG] [Fast Refresh] done in 98ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  874146ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  874233ms] [LOG] [Fast Refresh] done in 190ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  874351ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  874527ms] [LOG] [Fast Refresh] done in 282ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  876601ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  876772ms] [LOG] [Fast Refresh] done in 276ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  877539ms] [WARNING] The resource http://localhost:3000/flinttype-logo.svg was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/sign-in:0
[  885030ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  885079ms] [LOG] [Fast Refresh] done in 153ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  935344ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  935408ms] [LOG] [Fast Refresh] done in 117ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  935594ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[  935657ms] [LOG] [Fast Refresh] done in 177ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
